URL,Title,Date
https://www.techtarget.com/whatis/feature/DeepSeek-explained-Everything-you-need-to-know,DeepSeek explained: Everything you need to know,2025-01-20
https://venturebeat.com/ai/open-source-deepseek-r1-uses-pure-reinforcement-learning-to-match-openai-o1-at-95-less-cost/,Open-source DeepSeek-R1 uses pure reinforcement learning to match OpenAI o1 — at 95% less cost,2025-01-20
https://siliconangle.com/2025/01/20/deepseek-open-sources-r1-reasoning-model-series/,DeepSeek open-sources its R1 reasoning model series - SiliconANGLE,2025-01-20
https://medium.com/data-science-in-your-pocket/deepseek-r1-vs-deepseek-r1-zero-3ab8eeed8b62,DeepSeek-R1 vs DeepSeek-R1-Zero. DeepSeek’s new reasoning models…,2025-01-20
https://analyticsindiamag.com/ai-news-updates/deepseek-crushes-openai-o1-with-an-mit-licensed-model-developers-are-losing-it/,DeepSeek Crushes OpenAI o1 with an MIT-Licensed Model—Developers Are Losing It,2025-01-20
https://www.artificialintelligence-news.com/news/deepseek-r1-reasoning-models-rival-openai-in-performance/,DeepSeek-R1 reasoning models rival OpenAI in performance,2025-01-20
https://www.maginative.com/article/deepseek-r1-is-a-fully-open-source-reasoning-ai-model/,"DeepSeek R1 is a Fully Open-Source ""Reasoning"" AI Model",2025-01-20
https://www.marktechpost.com/2025/01/20/deepseek-ai-releases-deepseek-r1-zero-and-deepseek-r1-first-generation-reasoning-models-that-incentivize-reasoning-capability-in-llms-via-reinforcement-learning/,DeepSeek-AI Releases DeepSeek-R1-Zero and DeepSeek-R1: First-Generation Reasoning Models that Incentivize Reasoning Capability in LLMs via Reinforcement Learning - MarkTechPost,2025-01-20
https://natesnewsletter.substack.com/p/the-ai-chess-game-how-deepseek-is?utm_campaign=post&utm_medium=web,The AI Chess Game: How DeepSeek is Changing the Game for Model Makers,2025-01-20
https://www.msn.com/en-us/news/technology/china-s-cheap-ai-start-up-deepseek-triggers-1trillion-market-meltdown/ar-AA1xWdt1,What is DeepSeek? The Chinese AI that lost US stock market $1trillion,2025-01-20
https://medium.datadriveninvestor.com/the-chinese-obliterated-openai-a-side-by-side-comparison-of-deepseek-r1-vs-openai-o1-for-finance-93a1b4343a82,The Chinese OBLITERATED OpenAI. A side-by-side comparison of DeepSeek R1 vs OpenAI O1 for Finance,2025-01-20
https://technext24.com/2025/01/28/everything-to-know-about-deepseek/,Everything to know about DeepSeek,2025-01-20
https://www.msn.com/en-us/money/markets/bitcoin-falls-along-with-tech-stocks-due-to-ai-startup-deepseek-here-s-why/ar-AA1xXRu7?ocid=finance-verthp-feeds,Bitcoin has ‘nothing to do’ with DeepSeek. Here’s why its price tumbled anyway.,2025-01-20
https://www.odaily.news/en/post/5201424,Deepseek surpasses ChatGPT to top the AppStore. What are the related AI concept coins?_Information-odaily,2025-01-20
https://www.hpbl.co.in/news/nvidia-historic-589-billion-loss-triggers-market-sell-off-after-deepseek-ai-model-threat/,Nvidia Historic $589 Billion Loss Triggers Market Sell-Off After DeepSeek AI Model Threat – Market,2025-01-20
https://winbuzzer.com/2025/01/20/new-deepseek-r1-reasoning-models-beat-openai-o1-in-math-benchmarks-xcxwbn/,New DeepSeek R1 Reasoning Models Beat OpenAI o1 in Math Benchmarks - WinBuzzer,2025-01-20
https://www.techjuice.pk/deepseek-unveils-deepseek-r1-which-beats-openai-o1-in-reasoning/,DeepSeek Unveils DeepSeek-R1 Which Beats OpenAI-o1 in Reasoning,2025-01-20
https://www.zdnet.com/article/deepseeks-new-open-source-ai-model-can-outperform-o1-for-a-fraction-of-the-cost/,DeepSeek's new open-source AI model can outperform o1 for a fraction of the cost,2025-01-21
https://www.scmp.com/tech/policy/article/3295662/beijing-meeting-puts-spotlight-chinas-new-face-ai-deepseek-founder-liang-wenfeng,"Beijing meeting puts spotlight on China’s new face of AI, DeepSeek founder Liang Wenfeng",2025-01-21
https://the-decoder.com/deepseeks-latest-r1-zero-model-matches-openais-o1-in-reasoning-benchmarks/,DeepSeek's latest R1 model matches OpenAI's o1 in reasoning benchmarks,2025-01-20
https://www.forexlive.com/news/chinas-deepseek-may-have-just-upended-the-economics-of-ai-20250121/,China's DeepSeek may have just upended the economics of AI,2025-01-21
https://seekingalpha.com/article/4750764-amd-stock-deepseek-is-a-big-deal,AMD: DeepSeek Is A Big Deal (NASDAQ:AMD),2025-01-21
https://www.techzine.eu/news/devops/127980/deepseek-introduces-series-of-llms-with-high-reasoning-capabilities/,DeepSeek introduces series of LLMs with high reasoning capabilities - Techzine Global,2025-01-21
https://www.testingcatalog.com/open-source-deepseek-r1-challenges-openais-o1-in-advanced-benchmarks/,Open-Source DeepSeek-R1 challenges OpenAI’s o1 in benchmarks,2025-01-21
